Date,AAPL.US,MSFT.US,GOOGL.US,META.US,JNJ.US,UNH.US,PFE.US,JPM.US,BAC.US,BLK.US,GS.US,AMZN.US,HD.US,MCD.US,CAT.US,LMT.US,HON.US,XOM.US,CVX.US,COP.US
2014-12-31,24.5577,39.8869,26.4372,78.02,84.347,85.8527,23.2969,50.0555,15.3578,275.905,168.115,15.5175,87.5096,76.108,72.6831,154.312,75.4108,63.4678,79.3683,54.0091
2015-01-02,24.3203,40.1536,26.3819,78.45,84.3088,85.5851,23.4296,50.3059,15.3668,275.275,168.606,15.426,86.2397,75.7509,72.9602,154.89,75.6437,63.7264,79.6307,53.9038
2015-01-05,23.6361,39.7826,25.8791,77.19,83.7106,84.1748,23.3037,48.7429,14.9238,268.144,163.344,15.1095,84.4242,74.909,69.107,151.711,74.2022,61.9827,76.4608,51.3381
2015-01-06,23.6381,39.1972,25.2406,76.15,83.3105,84.0067,23.4979,47.4804,14.4711,263.985,160.031,14.7645,84.1641,75.0516,68.6632,150.966,74.029,61.654,76.4217,49.2178
2015-01-07,23.9734,39.6975,25.1663,76.15,85.1432,84.8681,23.8191,47.5512,14.5438,269.566,162.451,14.921,87.061,76.3568,69.7275,152.937,74.565,62.2793,76.3623,49.5445
2015-01-08,24.8927,40.8676,25.254,78.18,85.8151,88.9157,24.309,48.6122,14.8413,272.717,165.029,15.023,88.9668,76.643,70.4437,156.372,75.9192,63.3131,78.1052,50.7794
2015-01-09,24.9195,40.5217,24.9456,77.74,84.6373,88.077,24.4162,47.7673,14.5772,269.482,162.5,14.8465,87.4428,75.7057,69.6003,156.282,74.6637,63.2285,76.5515,50.7718
2015-01-12,24.3003,40.0159,24.7632,76.72,84.3559,87.0867,24.5061,47.3606,14.3179,267.698,160.52,14.5705,87.0708,75.5472,68.9965,155.841,74.3021,62.0109,74.9031,49.327
2015-01-13,24.5242,39.7969,24.9993,76.45,84.503,87.5284,24.2611,47.3684,14.1214,268.52,160.393,14.737,86.4791,75.3989,68.5852,155.744,74.8283,61.7833,73.7113,48.8331
2015-01-14,24.4296,39.464,25.2051,76.28,83.887,87.759,24.2943,45.7336,13.7689,266.814,156.306,14.6635,85.5684,74.3513,68.3465,154.84,74.4833,61.6044,73.4947,48.9782
