Date,AAPL.US,NVDA.US,MSFT.US,AMZN.US,GOOGL.US,META.US,TSLA.US,AVGO.US,BRK-B.US,WMT.US,LLY.US,JPM.US,V.US,MA.US,ORCL.US,XOM.US,UNH.US,COST.US,PG.US
2013-10-02,15.1481,0.364467,28.1361,16.0255,22.1198,50.28,12.0633,3.29663,114.41,19.7466,40.6953,40.5787,44.1203,63.9258,29.17,57.0764,60.4002,95.3809,57.9311
2013-10-03,14.9588,0.360672,28.0881,15.738,21.8229,49.18,11.554,3.28849,113.37,19.5955,39.2926,40.4609,43.3943,63.2389,28.7936,56.6922,60.3595,95.0182,57.863
2013-10-04,14.9471,0.365635,28.1053,15.952,21.7302,51.04,12.0653,3.30359,113.75,19.5001,38.9557,41.0267,43.8116,63.6426,28.8658,57.2349,60.7516,95.0381,58.0032
2013-10-07,15.0921,0.365635,27.6221,15.5015,21.5654,50.51,12.2047,3.26557,112.86,19.2509,38.3663,40.3735,42.8607,63.0116,28.5489,56.9549,60.0699,94.1901,57.72
2013-10-08,14.8819,0.362637,27.3849,15.1615,21.2648,47.14,11.6487,3.23498,111.37,19.5267,38.6912,39.6229,41.9794,61.8602,28.1349,56.6992,59.4961,93.1897,58.235
2013-10-09,15.0583,0.356947,27.4345,14.9115,21.3193,46.77,11.252,3.20472,111.77,19.5531,38.618,39.5315,42.2881,62.1772,27.9824,56.4656,59.4115,95.1726,58.7124
2013-10-10,15.1511,0.360922,28.0039,15.2585,21.6276,49.05,11.5287,3.30416,114.84,20.0325,39.5738,40.9119,43.4772,64.1968,28.6757,57.0481,61.5779,96.1143,59.4277
2013-10-11,15.2486,0.357925,28.3116,15.5445,21.7212,49.11,11.9133,3.28755,115.81,20.041,39.358,40.9049,44.2063,64.7272,28.9104,57.6521,61.8173,96.2787,59.8815
2013-10-14,15.3491,0.363317,28.5784,15.535,21.8239,49.51,11.9813,3.35908,116.0,20.0036,39.4799,41.0583,44.4935,65.1927,28.9263,58.0829,62.1923,96.5757,60.0768
2013-10-15,15.429,0.361419,28.6123,15.32,21.9703,49.5,12.2627,3.32161,114.63,19.9208,39.3025,40.7477,44.0176,64.9355,28.4667,57.5471,61.483,95.8463,59.2077
2013-10-16,15.5059,0.365865,28.7336,15.5245,22.37,51.13,12.2373,3.37953,116.69,20.2497,39.3798,42.0643,44.9957,65.7978,28.7015,57.8914,62.5827,97.4596,60.2397
2013-10-17,15.6103,0.366564,28.968,15.5385,22.1397,52.21,12.1867,3.42455,116.92,20.2976,40.0167,42.2283,45.6045,66.6621,28.5727,58.0051,59.4021,98.2079,61.0683
2013-10-18,15.7483,0.370797,29.0004,16.4465,25.1936,54.22,12.2267,3.49797,116.97,20.2797,39.9048,42.2971,46.1028,67.6619,28.5955,58.0499,57.2302,97.6718,61.0615
2013-10-21,16.1326,0.371774,29.0266,16.322,24.9919,53.85,11.5067,3.57306,116.89,20.1299,39.9771,42.2715,46.0091,67.9101,28.641,57.8389,56.7628,97.4784,60.724
2013-10-22,16.0864,0.369909,28.6839,16.627,25.0841,52.67,11.436,3.55939,117.49,20.4422,40.3793,41.7656,45.9953,67.9879,28.5955,58.3348,57.3147,97.8143,61.8092
2013-10-23,16.2439,0.363537,28.0039,16.338,25.6924,51.9,10.9667,3.4471,116.41,20.3305,40.5101,41.0917,45.7453,67.2592,28.4231,58.0898,56.6063,97.2972,62.2147
2013-10-24,16.4588,0.360802,27.9689,16.6105,25.5464,52.44,11.5433,3.45464,116.84,20.4699,40.7032,40.8804,46.6716,68.5581,28.748,58.6275,56.2738,96.5557,61.9829
2013-10-25,16.2756,0.357426,29.6382,18.1695,25.2883,51.95,11.3107,3.46531,117.03,20.3791,40.7884,41.1083,46.7077,68.4724,28.8164,58.3299,56.2825,96.7202,61.5172
2013-10-28,16.3978,0.356707,29.5082,17.908,25.2833,50.23,10.8573,3.45607,116.94,20.6627,40.9657,41.0347,46.7126,69.0556,28.8084,58.5021,55.7144,97.4506,62.5156
2013-10-29,15.9878,0.357177,29.4643,18.135,25.8124,49.4,10.9647,3.47823,117.41,20.6406,40.4199,41.0749,46.9776,69.2938,29.3037,58.967,56.666,98.6235,63.4065
2013-10-30,16.242,0.356947,29.4819,18.054,25.6675,49.01,10.6147,3.40606,116.34,20.6018,39.6235,40.9747,46.8797,68.6518,29.1452,58.8862,56.6063,97.7864,62.6823
2013-10-31,16.2686,0.356209,29.3684,18.2015,25.6715,50.205,10.6627,3.4501,115.09,20.5575,40.1138,40.1445,45.2362,67.9311,29.2115,59.8296,57.0299,97.9877,62.0923
2013-11-01,16.0913,0.357925,29.473,17.95,25.5833,49.75,10.8113,3.39625,115.27,20.6438,40.5645,40.9049,45.8097,69.7713,29.1452,59.5534,57.1219,99.3688,62.4011
2013-11-04,16.3002,0.34759,29.814,17.937,25.5598,48.22,11.68,3.42049,114.87,20.7129,40.5893,40.5375,45.1786,68.91,29.3037,61.0656,57.3907,99.9566,62.5373
2013-11-05,16.2588,0.347121,30.395,17.9445,25.4457,50.1,11.7873,3.41965,114.36,20.7373,40.5586,40.4697,45.3982,69.6656,29.1174,60.9957,57.1989,99.7972,62.6152
2013-11-06,16.2114,0.349459,31.6718,17.809,25.4767,49.12,10.0773,3.44542,114.91,20.9349,40.6537,40.5867,45.7765,69.4254,29.6117,61.8096,58.5029,103.056,63.6758
2013-11-07,15.9503,0.341172,31.1071,17.178,25.1079,47.56,9.318,3.31549,113.83,20.7614,40.2634,40.2349,45.1052,68.2411,29.5532,61.3875,58.0622,101.99,63.298
2013-11-08,16.2017,0.364936,31.3385,17.5155,25.3093,47.53,9.19667,3.36793,115.88,20.8816,40.7676,42.0328,45.6045,69.4832,29.8563,61.903,58.6793,101.99,63.4439
2013-11-11,16.1534,0.367993,31.1822,17.719,25.1737,46.2,9.64667,3.35718,115.65,21.1626,40.4853,42.1389,45.8361,70.1163,29.8741,62.0546,58.6793,102.189,63.2526
2013-11-12,16.1839,0.368741,30.99,17.4765,25.2031,46.6,9.18667,3.42711,114.21,21.0832,40.3089,42.0397,45.6025,69.7913,30.1623,61.8641,58.2199,101.71,63.6688
2013-11-13,16.2036,0.378846,31.6462,17.811,25.7187,48.71,9.24667,3.44634,114.81,21.1336,41.1053,42.1733,46.0412,69.5789,30.4228,61.8096,59.1038,102.558,64.2085
2013-11-14,16.439,0.380413,31.5398,18.37,25.7874,48.99,9.17333,3.2617,115.69,21.1822,41.4948,42.3747,46.1265,70.3415,29.8831,62.2307,59.4648,103.046,64.837
2013-11-15,16.3396,0.379316,31.3884,18.4585,25.7457,49.01,9.03,3.38757,116.3,21.2197,41.4789,42.7421,46.5553,71.1669,30.3545,63.598,59.8181,103.484,65.2365
2013-11-18,16.1405,0.370137,30.8589,18.309,25.6959,45.83,8.10533,3.33831,115.9,21.2197,41.4948,43.4171,46.0688,71.3842,30.3644,63.7177,59.6614,102.667,65.0283
2013-11-19,16.1691,0.364117,30.7085,18.247,25.5374,46.36,8.406,3.2617,115.84,21.2278,41.4205,43.7364,45.4902,70.6635,30.2169,63.7002,59.6005,102.956,64.8518
2013-11-20,16.0291,0.358723,30.9909,18.1285,25.4657,46.43,8.074,3.24264,114.9,21.1336,41.2025,43.701,45.6602,70.5678,30.2089,63.2051,59.912,102.238,65.123
2013-11-21,16.2194,0.361499,31.2605,18.446,25.7587,46.7,8.14,3.26935,116.42,21.1223,41.0569,44.5724,46.4664,70.6685,30.3724,63.2119,60.686,103.166,65.1044
2013-11-22,16.1781,0.357975,31.4012,18.6155,25.7043,46.23,8.092,3.28849,116.96,21.3776,41.6582,44.76,46.5837,71.3742,30.2763,63.4269,61.3795,104.242,65.3203
2013-11-25,16.3012,0.365735,31.4567,18.832,26.0535,44.82,8.056,3.31962,115.63,21.5437,41.7483,44.9074,46.5398,71.5686,30.2337,63.4785,61.6492,104.202,65.6765
2013-11-26,16.6015,0.368841,31.2175,19.0685,26.365,45.89,8.03333,3.3985,116.58,21.6117,41.0956,44.5341,46.9031,71.6224,30.3644,62.9309,62.0261,104.212,65.0836
2013-11-27,16.9931,0.370227,31.4234,19.3355,26.4815,46.49,8.46267,3.39228,116.58,21.6779,40.9479,44.7758,47.0127,71.9375,30.6744,62.6158,61.8906,104.372,64.8044
2013-11-29,17.3074,0.367883,31.8679,19.681,26.3938,47.01,8.48533,3.3972,116.53,21.699,40.838,44.5724,46.8903,72.074,30.7715,62.4048,62.2296,104.42,64.759
